Data,Mês,Canal,Produto,Quantidade Vendida,Preço Unitário,Receita Total
2025-01-01,Janeiro,A1500108,Carteira,23.0,210.0,4830.0
2025-01-01,Janeiro,A1500108,FONE,22.0,159.0,3498.0
2025-01-01,Janeiro,A1500108,Malaa,69.0,,
2025-01-01,Janeiro,A1500108,Mochila,66.0,,
2025-01-01,Janeiro,A1500108,Boné,37.0,,
2025-01-01,Janeiro,A1500108,Garrafa,18.0,,
2025-01-01,Janeiro,A1500108,Tênis,32.0,,
2025-01-01,Janeiro,A1500108,Tênis,43.0,,
2025-01-01,Janeiro,A1500108,Malaa,52.0,,
2025-01-01,Janeiro,A1500108,Tênis,29.0,,
2025-01-01,Janeiro,A1500108,Garrafa,42.0,,
2025-01-01,Janeiro,A1500108,Boné,38.0,,
2025-01-01,Janeiro,A3100104,FONE,18.0,159.0,2862.0
2025-01-01,Janeiro,A1500108,Boné,96.0,,
2025-01-01,Janeiro,A1500108,Malaa,114.0,,
2025-01-01,Janeiro,A1500107,Mochila,144.0,,
2025-01-01,Janeiro,A1500108,Boné,18.0,,
2025-01-01,Janeiro,A1500107,FONE,78.0,159.0,12402.0
2025-01-01,Janeiro,A1500108,Boné,42.0,,
2025-01-01,Janeiro,A1500107,Malaa,112.0,,
2025-01-01,Janeiro,A1500108,BOLSA,93.0,999.0,92907.0
2025-01-01,Janeiro,A1500108,Tênis,48.0,,
2025-01-01,Janeiro,A1500108,FONE,28.0,159.0,4452.0
2025-01-01,Janeiro,A3100104,FONE,20.0,159.0,3180.0
2025-01-01,Janeiro,A1500108,Tênis,21.0,,
2025-01-01,Janeiro,A1500107,Boné,86.0,,
2025-01-01,Janeiro,A1500107,Tênis,42.0,,
2025-01-01,Janeiro,A1500108,Carteira,16.0,210.0,3360.0
2025-01-01,Janeiro,A1500108,Malaa,16.0,,
2025-01-01,Janeiro,A1500108,Malaa,23.0,,
2025-01-01,Janeiro,A1500108,Garrafa,18.0,,
2025-01-01,Janeiro,A1500108,BOLSA,18.0,999.0,17982.0
2025-01-01,Janeiro,A1500108,Tênis,25.0,,
2025-01-01,Janeiro,A1500108,Garrafa,46.0,,
2025-01-01,Janeiro,A1500107,Garrafa,78.0,,
2025-01-01,Janeiro,A1500107,Tênis,74.0,,
2025-01-01,Janeiro,A1500108,Carteira,45.0,210.0,9450.0
2025-01-01,Janeiro,A3100104,Mochila,41.0,,
2025-01-01,Janeiro,A3100104,FONE,32.0,159.0,5088.0
2025-01-01,Janeiro,A1500107,Mochila,144.0,,
2025-01-01,Janeiro,A1500108,Tênis,35.0,,
2025-01-01,Janeiro,A1500108,Malaa,123.0,,
2025-01-01,Janeiro,A1500107,FONE,78.0,159.0,12402.0
2025-01-01,Janeiro,A3100104,Garrafa,45.0,,
2025-01-01,Janeiro,A1500107,Malaa,38.0,,
2025-01-01,Janeiro,A3100104,Boné,38.0,,
2025-01-01,Janeiro,A1500107,Garrafa,84.0,,
2025-01-01,Janeiro,A1500108,BOLSA,41.0,999.0,40959.0
2025-01-01,Janeiro,A1500108,Garrafa,96.0,,
2025-01-01,Janeiro,A1500107,Boné,28.0,,
2025-01-01,Janeiro,A1500108,Garrafa,37.0,,
2025-01-01,Janeiro,A1500108,Garrafa,44.0,,
2025-01-01,Janeiro,A1500107,Tênis,74.0,,
2025-01-01,Janeiro,A3100104,Carteira,44.0,210.0,9240.0
2025-01-01,Janeiro,A1500108,FONE,35.0,159.0,5565.0
2025-01-01,Janeiro,A3100104,Garrafa,35.0,,
2025-01-01,Janeiro,A1500108,Carteira,42.0,210.0,8820.0
2025-01-01,Janeiro,A3100104,Tênis,47.0,,
2025-01-01,Janeiro,A1500108,Garrafa,23.0,,
2025-01-01,Janeiro,A1500107,Boné,84.0,,
2025-01-01,Janeiro,A3100104,Carteira,48.0,210.0,10080.0
2025-01-01,Janeiro,A3100104,BOLSA,37.0,999.0,36963.0
2025-01-01,Janeiro,A3100104,Garrafa,19.0,,
2025-01-01,Janeiro,A1500108,Garrafa,22.0,,
2025-01-01,Janeiro,A3100104,Malaa,43.0,,
2025-01-01,Janeiro,A1500108,Malaa,96.0,,
2025-01-01,Janeiro,A1500107,Malaa,96.0,,
2025-01-01,Janeiro,A3100104,Mochila,50.0,,
2025-01-01,Janeiro,A1500107,Boné,44.0,,
2025-01-01,Janeiro,A3100104,Carteira,36.0,210.0,7560.0
2025-01-01,Janeiro,A1500108,Boné,39.0,,
2025-01-01,Janeiro,A1500107,BOLSA,72.0,999.0,71928.0
2025-01-01,Janeiro,A3100104,Garrafa,38.0,,
2025-01-01,Janeiro,A1500108,FONE,29.0,159.0,4611.0
2025-01-01,Janeiro,A3100104,Boné,19.0,,
2025-01-01,Janeiro,A3100104,Malaa,19.0,,
2025-01-01,Janeiro,A1500107,Boné,32.0,,
2025-01-01,Janeiro,A1500108,Boné,51.0,,
2025-01-01,Janeiro,A1500107,Tênis,54.0,,
2025-01-01,Janeiro,A3100104,Boné,44.0,,
2025-01-01,Janeiro,A1500108,FONE,38.0,159.0,6042.0
2025-01-01,Janeiro,A1500107,Carteira,42.0,210.0,8820.0
2025-01-01,Janeiro,A1500108,Carteira,36.0,210.0,7560.0
2025-01-01,Janeiro,A1500108,Boné,32.0,,
2025-01-01,Janeiro,A3100104,BOLSA,49.0,999.0,48951.0
2025-01-01,Janeiro,A1500108,Malaa,38.0,,
2025-01-01,Janeiro,A1500107,Tênis,52.0,,
2025-01-01,Janeiro,A1500107,Tênis,84.0,,
2025-01-01,Janeiro,A1500108,Mochila,22.0,,
2025-01-01,Janeiro,A3100104,Mochila,52.0,,
2025-01-01,Janeiro,A3100104,Carteira,20.0,210.0,4200.0
2025-01-01,Janeiro,A1500108,Carteira,34.0,210.0,7140.0
2025-01-01,Janeiro,A1500108,FONE,99.0,159.0,15741.0
2025-01-01,Janeiro,A1500108,Malaa,35.0,,
2025-01-01,Janeiro,A1500107,Malaa,30.0,,
