city_id,store_id,management_group_id,first_category_id,second_category_id,third_category_id,product_id,dt,sale_amount,hours_sale,stock_hour6_22_cnt,hours_stock_status,discount,holiday_flag,activity_flag,precpt,avg_temperature,avg_humidity,avg_wind_level
7,115,Auto Serviço,Alimentos,Categoria A,Subcategoria Z,1070,2024-01-01 00:00:00,1538.24,18-24,5,Médio,0.23,0,0,8.03,31.12,57.36,4.81
20,101,Distribuidores Regionais,Alimentos,Categoria A,Subcategoria X,1078,2024-01-01 01:00:00,1396.27,18-24,278,Médio,0.25,0,0,15.54,15.55,57.18,2.03
15,159,Distribuidores Regionais,Limpeza,Categoria A,Subcategoria X,1005,2024-01-01 02:00:00,2340.98,6-12,317,Alto,0.01,0,1,12.76,13.72,52.13,2.56
11,153,Grandes Varejistas,Limpeza,Categoria C,Subcategoria Y,1017,2024-01-01 03:00:00,4564.37,12-18,211,Baixo,0.02,0,0,15.64,23.93,50.52,2.39
8,129,Auto Serviço,Alimentos,Categoria B,Subcategoria X,1018,2024-01-01 04:00:00,2840.25,12-18,272,Alto,0.21,1,1,0.99,31.82,54.04,8.27
7,183,Grandes Varejistas,Higiene,Categoria C,Subcategoria Y,1050,2024-01-01 05:00:00,2606.16,12-18,83,Alto,0.06,1,0,11.27,12.77,82.15,2.51
19,137,Grandes Varejistas,Limpeza,Categoria C,Subcategoria Z,1065,2024-01-01 06:00:00,4032.74,6-12,111,Médio,0.13,0,1,9.07,15.85,58.13,5.46
11,127,Auto Serviço,Alimentos,Categoria A,Subcategoria Z,1002,2024-01-01 07:00:00,20.12,18-24,197,Alto,0.06,1,1,17.92,28.65,70.16,6.28
11,124,Grandes Varejistas,Limpeza,Categoria A,Subcategoria Y,1088,2024-01-01 08:00:00,986.93,6-12,359,Médio,0.05,1,1,14.75,21.63,78.47,7.45
4,195,Pequeno Varejo,Bebidas,Categoria A,Subcategoria Z,1099,2024-01-01 09:00:00,2480.93,12-18,380,Médio,0.03,0,0,8.49,25.09,55.92,0.29
8,109,Distribuidores Regionais,Limpeza,Categoria B,Subcategoria Y,1053,2024-01-01 10:00:00,3526.55,18-24,27,Alto,0.18,1,1,11.08,24.79,80.35,4.76
3,159,Grandes Varejistas,Limpeza,Categoria B,Subcategoria X,1048,2024-01-01 11:00:00,2425.14,6-12,140,Alto,0.22,0,1,8.5,20.31,89.56,2.93
2,141,Auto Serviço,Higiene,Categoria C,Subcategoria Z,1027,2024-01-01 12:00:00,818.58,6-12,412,Alto,0.02,0,0,8.82,27.64,60.25,8.34
12,139,Distribuidores Regionais,Limpeza,Categoria B,Subcategoria X,1037,2024-01-01 13:00:00,4649.91,6-12,172,Alto,0.08,1,0,12.68,31.31,54.16,0.37
6,196,Distribuidores Regionais,Higiene,Categoria A,Subcategoria X,1027,2024-01-01 14:00:00,1643.33,6-12,19,Médio,0.2,0,0,4.33,32.69,78.35,2.07
2,176,Grandes Varejistas,Bebidas,Categoria B,Subcategoria Y,1031,2024-01-01 15:00:00,3941.08,18-24,441,Alto,0.12,1,1,6.66,11.16,68.95,3.16
1,141,Pequeno Varejo,Alimentos,Categoria B,Subcategoria Z,1040,2024-01-01 16:00:00,4457.07,6-12,464,Médio,0.21,1,0,5.58,23.84,66.79,0.78
12,146,Grandes Varejistas,Higiene,Categoria B,Subcategoria Z,1035,2024-01-01 17:00:00,1732.25,18-24,116,Médio,0.23,1,1,16.02,11.01,83.17,3.95
12,136,Pequeno Varejo,Limpeza,Categoria B,Subcategoria X,1035,2024-01-01 18:00:00,4226.56,6-12,53,Baixo,0.01,1,0,18.84,32.52,68.97,7.44
17,179,Distribuidores Regionais,Limpeza,Categoria A,Subcategoria X,1086,2024-01-01 19:00:00,3553.87,12-18,226,Médio,0.11,1,1,8.29,20.73,68.49,2.12
10,121,Grandes Varejistas,Higiene,Categoria A,Subcategoria Y,1065,2024-01-01 20:00:00,4521.4,6-12,108,Baixo,0.22,1,1,1.54,32.51,42.41,7.54
16,156,Auto Serviço,Bebidas,Categoria C,Subcategoria Z,1009,2024-01-01 21:00:00,1256.55,6-12,230,Alto,0.11,1,1,1.87,14.69,71.29,5.29
